"Timestamp","Goods or service","Did you make the purchase?","Price:","How much money do you have in total?","Category","If Other, please specify:","Need or Want?","If want, how much do you WANT the item? (1 being the least, 3 being the most)","Gender","Age","Monthly Income ","Monthly Budget for your NEEDS","Monthly Budget for your WANTS","Status","Comments:"
"2018/12/04 10:56:41 pm CET","Goods","Yes","12","150","Food & Drink","","Need","NEED","Female","20","700","30","70","Single",""
"2018/12/04 10:58:39 pm CET","Goods","Yes","25.99","160","Home (decors, household equipments etc)","","Need","NEED","Female","20","400","30","70","Single",""
"2018/12/04 10:59:38 pm CET","Goods","No","70","170","Clothing","","Want","1","Female","20","400","70","30","Single",""
"2018/12/04 11:01:44 pm CET","Service","No","145","400","Health & Beauty","","Want","3","Female","20","400","30","70","Single",""
"2018/12/04 11:06:12 pm CET","Goods","Yes","7.50","50","Food & Drink","","Need","NEED","Male","19","800","80","20","Single",""
"2018/12/04 11:07:35 pm CET","Goods","Yes","15","100","Home (decors, household equipments etc)","","Want","2","Male","19","800","90","10","Single",""
"2019/01/22 7:29:55 pm CET","Goods","Yes","1400","4000","Technology","","Need","NEED","Male","19","135","90","10","Single",""
"2019/01/22 9:17:44 pm CET","Service","Yes","8","518","Food & Drink","","Need","NEED","Female","16","110","80","20","Single",""
"2019/01/22 9:20:27 pm CET","Goods","No","357","3983","Health & Beauty","","Want","3","Female","22","1300","70","20","Single",""
"2019/01/22 9:22:37 pm CET","Service","Yes","56.99","6800","Transport","","Need","NEED","Male","35","2500","65","15","Parent",""
"2019/01/22 9:25:10 pm CET","Goods","No","613.50","3200","Technology","","Want","3","Female","19","350","50","40","Single",""
"2019/01/22 9:26:59 pm CET","Goods","Yes","7.60","350","Food & Drink","","Need","NEED","Male","21","2300","70","20","Single",""
"2019/01/22 9:28:15 pm CET","Goods","Yes","27","265","Food & Drink","","Need","NEED","Female","29","2450","70","15","Parent",""
"2019/01/22 9:29:31 pm CET","Service","Yes","13.50","560","Books & Education","","Want","3","Male","31","2900","60","20","Parent",""
"2019/01/22 9:30:58 pm CET","Service","No","5.50","685","Transport","","Need","NEED","Female","19","125","20","50","Single",""
"2019/01/22 9:32:27 pm CET","Goods","Yes","10","234","Clothing","","Need","NEED","Male","36","2400","65","15","Married",""
"2019/01/22 9:34:39 pm CET","Service","Yes","12.25","135","Other (please specify below)","Car washing soap","Need","NEED","Male","27","2400","65","10","Single",""
"2019/01/22 9:36:30 pm CET","Goods","No","47.80","60","Books & Education","","Want","1","Female","20","650","40","40","Single",""
"2019/01/22 9:38:04 pm CET","Service","Yes","5","487","Transport","5.00","Need","NEED","Male","29","1800","75","10","Married",""
"2019/01/22 9:40:50 pm CET","Goods","Yes","17.30","150","Food & Drink","","Need","NEED","Female","41","3000","70","10","Parent",""
"2019/01/24 5:24:54 pm CET","Service","No","8.00","55.00","Health & Beauty","","Want","3","Female","20","250","50","20","Single",""
"2019/02/13 1:39:53 pm CET","Service","Yes","75","500","Transport","","Need","NEED","Female","20","300","50","50","Single",""
"2019/02/13 8:14:38 pm CET","Goods","Yes","4.50","20","Food & Drink","","Need","NEED","Male","20","350","40","20","Single",""
"2019/02/13 8:16:33 pm CET","Goods","No","53.75","40","Personal Development","","Want","NEED","Female","16","130","70","20","Single",""
"2019/02/13 8:18:12 pm CET","Service","Yes","2.50","400","Transport","","Need","NEED","Male","32","2300","60","15","Married Parent",""
"2019/02/13 8:19:34 pm CET","Service","Yes","40","360","Personal Development","","Want","3","Female","26","2600","75","15","Single",""
"2019/02/13 8:21:09 pm CET","Goods","Yes","58.25","600","Home (decors, household equipments, home repairs etc)","","Want","3","Female","47","2200","65","20","Married Parent",""
"2019/02/13 8:24:22 pm CET","Goods","Yes","1","110","Food & Drink","","Need","NEED","Female","27","1900","60","10","Single",""
"2019/02/13 8:25:22 pm CET","Service","Yes","250","600","Other (please specify below)","Tattoo","Want","3","Female","26","2000","75","15","Single",""
"2019/02/13 8:26:36 pm CET","Goods","No","350","130","Technology","","Want","3","Female","15","150","20","70","Single",""
"2019/02/13 8:28:35 pm CET","Service","Yes","5","59","Books & Education","","Want","3","Female","18","200","50","25","Single",""
"2019/02/13 8:30:14 pm CET","Goods","Yes","30","400","Experiences","","Need","NEED","Male","29","2400","70","15","Married (no children)",""
"2019/02/13 8:31:11 pm CET","Goods","Yes","13.50","80","Clothing","","Want","3","Female","33","2600","50","20","Married (no children)",""
"2019/02/13 8:32:15 pm CET","Goods","Yes","1500","2000","Technology","","Need","NEED","Male","25","1900","65","20","Single",""
"2019/02/13 8:34:06 pm CET","Service","Yes","130","50","Health & Beauty","","Want","1","Male","30","2400","60","15","Married Parent",""
"2019/02/14 3:23:32 pm CET","Service","Yes","10","150","Transport","","Need","NEED","Female","20","400","50","50","Single",""
"2019/02/14 3:26:23 pm CET","Goods","Yes","11.00","800","Clothing","","Want","2","Female","50","1200","60","40","Married Parent",""
"2019/02/14 3:33:46 pm CET","Service","Yes","30","800","Food & Drink","","Need","NEED","Female","50","1200","60","40","Married Parent",""
"2019/02/14 3:56:15 pm CET","Goods","No","200","200","Clothing","","Want","1","Female","45","1600","70","30","Single",""
"2019/02/14 3:57:38 pm CET","Service","Yes","50","300","Health & Beauty","","Want","3","Female","28","2000","50","50","Single",""
"2019/02/15 8:54:04 pm CET","Service","No","19.99","50.00","Technology","","Want","1","Male","22","280","80","20","Single","Hi, I like the font and color scheme you chose."
"2019/02/15 8:55:36 pm CET","Goods","Yes","7","90","Food & Drink","","Want","2","Female","21","320","80","20","Single","Student, no job, allowance from parents"
"2019/02/15 8:57:54 pm CET","Goods","Yes","5","80","Food & Drink","","Want","2","Female","20","400","60","40","Single",""
"2019/02/15 10:26:14 pm CET","Goods","Yes","30","400","Technology","","Want","3","Male","23","135","100","10","Single","U got diz gl gb ly"
"2019/03/23 4:31:59 pm CET","Goods","Yes","20","200","Technology","","Need","NEED","Female","20","500","50","50","Single",""
"2019/03/23 4:41:02 pm CET","Service","Yes","60","200","Health & Beauty","","Want","2","Female","25","700","50","50","Single",""
